,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers
481,Vellore-Institute-of-Technology-Vellore,I got 76.2% in the CBSE class 12 2020 and a cutoff of 70% in PCM. Can I get admission in VIT Chennai for a BTech in electrical and electronic engineering since the VITEEE is cancelled?,2,3,2/3,No,Followed,2020-07-15,https://www.quora.com/I-got-76-2-in-the-CBSE-class-12-2020-and-a-cutoff-of-70-in-PCM-Can-I-get-admission-in-VIT-Chennai-for-a-BTech-in-electrical-and-electronic-engineering-since-the-VITEEE-is-cancelled,There has been no official announcement from the university but as they had previously intimated about the admission on basis of boards and giving some weightage to jee main scores as well. There are chances of getting a EEE seat in VIT Chennai. But keep yourself updated with all the timely updates from the university. keep your spirits high and hope for the best. good luck!! 
482,Vellore-Institute-of-Technology-Vellore,How will the M.Tech in CSE be with AI and ML in the VIT Vellore campus?,2,1,2/1,No,Followed,2020-07-16,https://www.quora.com/How-will-the-M-Tech-in-CSE-be-with-AI-and-ML-in-the-VIT-Vellore-campus,"Better doing this new courses from IISc, ISI, IIT Kgp where experience faculties are there with good projects in their name. Now a days, every college has introduced these type of courses as AI, ML are future and most of the companies are using it. So, doing such degrees from better Institutes as said above are better. VIT has good number of CS faculities but about ML and AI no idea. So better to be sure about the faculties and the projects they are working before joining any college for AI, ML. Hope it helps! "
483,Vellore-Institute-of-Technology-Vellore,I got 97.3 in the 12th board. Can I get a seat in ECE in VIT?,1,3,1/3,No,Followed,2020-07-15,https://www.quora.com/I-got-97-3-in-the-12th-board-Can-I-get-a-seat-in-ECE-in-VIT,"I would hope that you have cracked jee main with flying colours But if not then it may be slightly difficult as boards marks are just a hoax ,a mirage created to hide the fact that they have to be completely dependent on jee for their results And a false belief for the poor students who have been preparing for the vit exam Hope you get your seat Cheers. "
484,Vellore-Institute-of-Technology-Vellore,I got 97.3 in the 12th board. Can I get a seat in ECE in VIT?,1,3,1/3,No,Followed,2020-07-15,https://www.quora.com/I-got-97-3-in-the-12th-board-Can-I-get-a-seat-in-ECE-in-VIT,"Don't take ECE in VIT. There is no demand of ECE in private colleges. If you like coding and want to go into IT sectors than only take it, else drop the idea to get into core companies like Qualcomm, Intel, TI through B.Tech in ECE from private colleges (excluding BITS). For ECE, it's better to do B.Tech from IIT, IISc, IIITH, NITs, BITS only. In VIT, better go for CS and IT, if you need placements. Good luck! "
485,Vellore-Institute-of-Technology-Vellore,Hi brother I am sasank. As you know VITEEE has been cancelled and admissions will be based on 12 and JEE I got 97.3 percentage in my class 12 and 83 percentile in JEE can I get a CSE seat in VIT Vellore?,8,2,8/2,Yes,Followed,2020-07-16,https://www.quora.com/Hi-brother-I-am-sasank-As-you-know-VITEEE-has-been-cancelled-and-admissions-will-be-based-on-12-and-JEE-I-got-97-3-percentage-in-my-class-12-and-83-percentile-in-JEE-can-I-get-a-CSE-seat-in-VIT-Vellore,"Nobody can predict as this is the first time VIT is considering marks. You have pretty good marks so the chances are high of you getting into CSE and if not Vellore you can choose Chennai. There is no difference in the curriculum and placements especially for CSE. Whichever campus you choose, don’t choose to stay in the hostel. You will regret it if you stay in the hostel "
486,Vellore-Institute-of-Technology-Vellore,Hi brother I am sasank. As you know VITEEE has been cancelled and admissions will be based on 12 and JEE I got 97.3 percentage in my class 12 and 83 percentile in JEE can I get a CSE seat in VIT Vellore?,8,2,8/2,Yes,Followed,2020-07-16,https://www.quora.com/Hi-brother-I-am-sasank-As-you-know-VITEEE-has-been-cancelled-and-admissions-will-be-based-on-12-and-JEE-I-got-97-3-percentage-in-my-class-12-and-83-percentile-in-JEE-can-I-get-a-CSE-seat-in-VIT-Vellore,Firstly congratulations! Yes brother you can get cs branch in viteee but I suggest you to find some other good nits or focus on advanced All the very best!😊 
487,Vellore-Institute-of-Technology-Vellore,Sir my CBSE board score is 96.6 percent and my Jan JEE score is 95.66 percentile how is the chances of me getting CS in VIT this year?,1,4,1/4,No,Followed,2020-07-15,https://www.quora.com/Sir-my-CBSE-board-score-is-96-6-percent-and-my-Jan-JEE-score-is-95-66-percentile-how-is-the-chances-of-me-getting-CS-in-VIT-this-year,"Congratulations for achieving this amazing score in both JEE and board. There is almost 95% chance that you will get cs in VIT this year. With this score you can get government college if you don't get VIT don't be dipresed buz your score is very good, so u can get GOVT as well as autonomous colleges. So all the best for your future "
488,Vellore-Institute-of-Technology-Vellore,Sir my CBSE board score is 96.6 percent and my Jan JEE score is 95.66 percentile how is the chances of me getting CS in VIT this year?,1,4,1/4,No,Followed,2020-07-15,https://www.quora.com/Sir-my-CBSE-board-score-is-96-6-percent-and-my-Jan-JEE-score-is-95-66-percentile-how-is-the-chances-of-me-getting-CS-in-VIT-this-year,Congratulations dude for such an amazing performance in both of the exams. There has been no official announcement from the university but they previously had intimated that they will considering jee and boards. You have a really fair chances of grabbing a CS seat in VIT vellore or chennai. So lets hope for the best. Good Luck!! 
489,Vellore-Institute-of-Technology-Vellore,"What percentile should be enough for getting into IIM BLACKI? GEM, 91.2 | 91 | 8.87 (10th, 12th and BTECH CGPA from VIT, Vellore)",4,1,4/1,Yes,Followed,2020-07-15,https://www.quora.com/What-percentile-should-be-enough-for-getting-into-IIM-BLACKI-GEM-91-2-91-8-87-10th-12th-and-BTECH-CGPA-from-VIT-Vellore,"you have excellent academic score, that's why you need to score 99.6+ %ile in cat and get all the iims call. thank you. "
490,Vellore-Institute-of-Technology-Vellore,Is VIT Vellore CS or ECE possible with 91% CBSE and 80 percentile in the JEE Mains January?,5,3,5/3,No,Followed,2020-07-15,https://www.quora.com/Is-VIT-Vellore-CS-or-ECE-possible-with-91-CBSE-and-80-percentile-in-the-JEE-Mains-January,Definitely not in the first tier but you may get CS or ECE in the rest of the campuses or vellore itself in round 4 or 5 .Although i wouldnt prefer that. All the best 
491,Vellore-Institute-of-Technology-Vellore,Is VIT Vellore CS or ECE possible with 91% CBSE and 80 percentile in the JEE Mains January?,5,3,5/3,No,Followed,2020-07-15,https://www.quora.com/Is-VIT-Vellore-CS-or-ECE-possible-with-91-CBSE-and-80-percentile-in-the-JEE-Mains-January,Ya you pretty chance to grab seats in VIT Vellore or Vit Chennai but I think if you are looking for branch like CSE/IT/ECE/EEE than you will get in category 4 or 5… 
492,Vellore-Institute-of-Technology-Vellore,I got 74.6% in class 12th. Can I be selected for a BCA in VIT Vellore?,2,2,2/2,No,Followed,2020-07-15,https://www.quora.com/I-got-74-6-in-class-12th-Can-I-be-selected-for-a-BCA-in-VIT-Vellore,70% overall(as per their current rules) will get you confirmation without any problem. There is no administration portion for BCA and getting into BCA at VIT is simple. There is no/little rivalry. 
493,Vellore-Institute-of-Technology-Vellore,I got 74.6% in class 12th. Can I be selected for a BCA in VIT Vellore?,2,2,2/2,No,Followed,2020-07-15,https://www.quora.com/I-got-74-6-in-class-12th-Can-I-be-selected-for-a-BCA-in-VIT-Vellore,70% overall(as per their cureent guidelines) will get you admission easily. There is no management quota for BCA and getting into BCA at VIT is very easy. There is no / little competition. 
494,Vellore-Institute-of-Technology-Vellore,I got 95.2% in the 12th CBSE and 94.15 percentile in the JEE Mains January. Can I get CSE in VIT Vellore?,5,1,5/1,Yes,Followed,2020-07-15,https://www.quora.com/I-got-95-2-in-the-12th-CBSE-and-94-15-percentile-in-the-JEE-Mains-January-Can-I-get-CSE-in-VIT-Vellore,it’s very difficult to predict what will be the cutoff for admission in VIT this years.This time it is a whole new process.You may have a chance but you will have to wait for college official notification…… 
495,Vellore-Institute-of-Technology-Vellore,"I got 97.8 percentage in 12th CBSE and 91.8 percentile in the JEE Main. Will I get a seat in VIT Vellore? If yes, what branch?",0,7,0/7,No,Requested,2020-07-15,https://www.quora.com/I-got-97-8-percentage-in-12th-CBSE-and-91-8-percentile-in-the-JEE-Main-Will-I-get-a-seat-in-VIT-Vellore-If-yes-what-branch,"Thanks for A2A. It’s the first time, any college in India is doing this direct mode of admission and the primary reason is COVID-19. Although you have a good chance to get CSE in VIT Vellore. But everything is uncertain as per now. Dear Brothers and sisters we can’t say, as the cumulative grading and the rank formation by the Institute is not familiar to us. Please be patient and wait for rankings to come. It’s a hard year for all of us. Now, keeping patience would be the only key. Please keep patience and frequently check the website for updates. No seniors and counseling experts can answer such Continue ReadingThanks for A2A. It’s the first time, any college in India is doing this direct mode of admission and the primary reason is COVID-19. Although you have a good chance to get CSE in VIT Vellore. But everything is uncertain as per now. Dear Brothers and sisters we can’t say, as the cumulative grading and the rank formation by the Institute is not familiar to us. Please be patient and wait for rankings to come. It’s a hard year for all of us. Now, keeping patience would be the only key. Please keep patience and frequently check the website for updates. No seniors and counseling experts can answer such queries. Additionally, if any one cleared JEE Main with good percentile and have 85% and above marks in Board exams definitely higher preference will be given to such students and their rankings will be in Top 1000. This is just a close assumption, but however a good JEE marks will ensure better opportunities. Also, keep preparing for BITS Pilani, whose entrance is not cancelled yet. Always hunt for better opportunities. Don’t settle in VIT even if you are getting direct admissions. There are other premier colleges (mostly only BITS since IIIT Hyderabad already conducted their UGEE exams) which will provide you better opportunities and placements . Keep VIT as backup. ALL THE BEST!! Hope it helps! "
496,Vellore-Institute-of-Technology-Vellore,"I got 97.8 percentage in 12th CBSE and 91.8 percentile in the JEE Main. Will I get a seat in VIT Vellore? If yes, what branch?",0,7,0/7,No,Requested,2020-07-15,https://www.quora.com/I-got-97-8-percentage-in-12th-CBSE-and-91-8-percentile-in-the-JEE-Main-Will-I-get-a-seat-in-VIT-Vellore-If-yes-what-branch,"Clearly, you have scored a very good percentage in your boards as well as in JEE Main. As you may already know, VIT announced a few days back that they're cancelling VITEEE and admissions will happen on the basis of board percentage. With this they had also written that people with good score in JEE will be given more priority. I guess you already have your answer by now. You will definitely get a seat in VIT Vellore. But, as far as the branch question goes, I honestly don't know. In fact, no one knows. It depends on demand. But seeing your percentage and this year's stats, I can say that you c Continue ReadingClearly, you have scored a very good percentage in your boards as well as in JEE Main. As you may already know, VIT announced a few days back that they're cancelling VITEEE and admissions will happen on the basis of board percentage. With this they had also written that people with good score in JEE will be given more priority. I guess you already have your answer by now. You will definitely get a seat in VIT Vellore. But, as far as the branch question goes, I honestly don't know. In fact, no one knows. It depends on demand. But seeing your percentage and this year's stats, I can say that you can get the top 5 branches. We're all very new to this. I answered this question only based on logical assumptions. This is not definite. P.S. Congratulations! You did really well :) "
497,Vellore-Institute-of-Technology-Vellore,Would I be able to get VIT Vellore CSE with 96 percentile in the JEE Mains and 96.6% in the 12th boards?,8,1,8/1,Yes,Followed,2020-07-15,https://www.quora.com/Would-I-be-able-to-get-VIT-Vellore-CSE-with-96-percentile-in-the-JEE-Mains-and-96-6-in-the-12th-boards,"Yes, definitely you can get it. But your marks are really very good and I think you should see for some other college. VIT being a private institution is not that good. I think you have the potential to grab any better NIT. Prepare for the upcoming JEE if you have filled the form and if not go for any other state college.You will get the best state college with this percentile. They will be much better than VIT. The dream package in VIT is 5 lakhs which is even less than the average package of many colleges. Also, VIT will charge a lot for your 4 years. SO I will recommend you to use your potential and grab a better seat at any govt institution. ALL THE BEST. "
498,Vellore-Institute-of-Technology-Vellore,When will VIT start the counseling for the 2020 batch?,5,2,5/2,No,Followed,2020-07-19,https://www.quora.com/When-will-VIT-start-the-counseling-for-the-2020-batch,"Hello, Well the last date to apply for the registration process is 31st July, At the website it is written “ To be announced”. So, as per the situation the Institute already knows that it would be difficult to conduct exams in the present situation, thus either they would start the counselling immediately after the registration proces to not waste time or they would wait until the 2nd session of JEE is conducted. The answer is according to my opinion, but more or the less it should be correct as there is no alternative solution, as they have cancelled VITEE. "
499,Vellore-Institute-of-Technology-Vellore,When will VIT start the counseling for the 2020 batch?,5,2,5/2,No,Followed,2020-07-19,https://www.quora.com/When-will-VIT-start-the-counseling-for-the-2020-batch,"Most probably August second half, since the last date for VITEEE admission extended to 31st July. All the best! "
500,Vellore-Institute-of-Technology-Vellore,Will I get admitted to VIT? I scored 94.2% in my 12th boards and 85.4 percentile in the JEE Mains January attempt.,6,1,6/1,Yes,Followed,2020-07-15,https://www.quora.com/Will-I-get-admitted-to-VIT-I-scored-94-2-in-my-12th-boards-and-85-4-percentile-in-the-JEE-Mains-January-attempt,"Hey There, You will be admitted in view of your Board % itself Not sure about the branch or campus though I hope this cleared your query.For any more questions please drop a line. I will try to answer as many as I can. Cheers. "
501,Vellore-Institute-of-Technology-Vellore,How good are the placements for mechatronics and automation from VIT Chennai compared to mechanical engineering?,1,1,1/1,No,Followed,2020-07-15,https://www.quora.com/How-good-are-the-placements-for-mechatronics-and-automation-from-VIT-Chennai-compared-to-mechanical-engineering,"This correct answer is in Indian context: Since Indian engineering curriculum is 40 years old, hence NO Indian engineering college produces any skilled-employable mechatronics professional. This is the reason that there are NO mechatronics companies in India.Mechanical Engineering has died in 2020. Such redundant engineering branches should not be taught at Indian engineering colleges. Praveen Kumar Singh's answer to What does a mechanical engineer have to do to earn 1 lac per month?So, because of the above mentioned two points, there is NO accurate answer to this question ! "
502,Vellore-Institute-of-Technology-Vellore,I got an M.Tech in automotive engineering in VIT Vellore category 1. Should I go for it?,2,2,2/2,No,Followed,2020-07-15,https://www.quora.com/I-got-an-M-Tech-in-automotive-engineering-in-VIT-Vellore-category-1-Should-I-go-for-it,"Congratulations!! For MTech there are only 2 categories. As I have mentioned in one of answers, till last year VIT was having collaboration with ARAI. But from this year onwards all the course you have to complete in VIT only. This will be the first batch of this course without ARAI. If you are planning accordingly then no doubt you can opt for the course. Faculty, labs and other infrastructure wise VIT is good option. All the best!! "
503,Vellore-Institute-of-Technology-Vellore,I got an M.Tech in automotive engineering in VIT Vellore category 1. Should I go for it?,2,2,2/2,No,Followed,2020-07-15,https://www.quora.com/I-got-an-M-Tech-in-automotive-engineering-in-VIT-Vellore-category-1-Should-I-go-for-it,"If you can afford for some better category or some better branch (upto categeory 3)….. choose Mech or EEE atleast or in worst case Civil….. If you can’t afford you have 2 options,1. VIT Chennai or other VIT Campus2. VIT Vellore (the branch you got) I would suggest to choose with category 1 some MECH or EEE at Chennai unless you are interested in Automated Engineering or near to Vellore. All the Best !! ( fingers Crossed ) "
504,Vellore-Institute-of-Technology-Vellore,How strict is VIT hostel for an MTech new student? What is the minimum hostel attendance percentage? How often are we allowed to go out of hostel to attend other interviews like SSB in a month?,2,3,2/3,No,Followed,2020-07-15,https://www.quora.com/How-strict-is-VIT-hostel-for-an-MTech-new-student-What-is-the-minimum-hostel-attendance-percentage-How-often-are-we-allowed-to-go-out-of-hostel-to-attend-other-interviews-like-SSB-in-a-month,"Thanks for the A2A, Well, The hostel rules apply equally for BTech, MTech, BA, BCom, etc. A hostel resident is expected to be on campus by 9:00PM (Male) and 8:00PM (Female) A hostel resident should enter the hostel premises by 9:30PM (Male) and 8:30PM (Female) There is no minimum hostel attendance to maintain. A hosteller is expected to get proper permission from his/her proctor (like a parent on-campus) prior to the date he/she has planned to take a leave. Whatever the reason may be, the procedure to get a leave approval from your proctor/ hostel warden is mandatory. Hope you have a fun at VIT.! It  Continue ReadingThanks for the A2A, Well, The hostel rules apply equally for BTech, MTech, BA, BCom, etc. A hostel resident is expected to be on campus by 9:00PM (Male) and 8:00PM (Female) A hostel resident should enter the hostel premises by 9:30PM (Male) and 8:30PM (Female) There is no minimum hostel attendance to maintain. A hosteller is expected to get proper permission from his/her proctor (like a parent on-campus) prior to the date he/she has planned to take a leave. Whatever the reason may be, the procedure to get a leave approval from your proctor/ hostel warden is mandatory. Hope you have a fun at VIT.! It is a really good college, with wide cultural diversity and lots of opportunities to shine.! -Pretty Boy- "
505,Vellore-Institute-of-Technology-Vellore,How strict is VIT hostel for an MTech new student? What is the minimum hostel attendance percentage? How often are we allowed to go out of hostel to attend other interviews like SSB in a month?,2,3,2/3,No,Followed,2020-07-15,https://www.quora.com/How-strict-is-VIT-hostel-for-an-MTech-new-student-What-is-the-minimum-hostel-attendance-percentage-How-often-are-we-allowed-to-go-out-of-hostel-to-attend-other-interviews-like-SSB-in-a-month,Thanks for the A2A VIT hostel rules are very strict and same for every student. You have to be hostel premises before 9 and hostel gate will be closed by 9:30 pm. After that biometric attendance will be taken daily. There is no such minimum hostel attendance criteria. If you have valid reason then you can go outside. But again you have apply for leave through Web portal of VIT. For MTech students your HOD will approve your leave and then you can go. In case of day time you can directly go out of the campus by giving biometric at main entrance. If you want to go to library then you can directly go Continue ReadingThanks for the A2A VIT hostel rules are very strict and same for every student. You have to be hostel premises before 9 and hostel gate will be closed by 9:30 pm. After that biometric attendance will be taken daily. There is no such minimum hostel attendance criteria. If you have valid reason then you can go outside. But again you have apply for leave through Web portal of VIT. For MTech students your HOD will approve your leave and then you can go. In case of day time you can directly go out of the campus by giving biometric at main entrance. If you want to go to library then you can directly go to the library before 9:30 pm. If you want to work in lab in the night then you have to again apply for late hour permission. Respective faculty will approve it. I hope it is clear. All the best!! 
506,Vellore-Institute-of-Technology-Vellore,Does VIT have a good mess?,1,2,1/2,No,Followed,2020-07-15,https://www.quora.com/Does-VIT-have-a-good-mess,"Yeah the mess is fine. But I wouldn’t recommend you to join the hostel. The hostel in VIT is like the worst thing. The rules in VIT hostel are stricter then the rules I had in 11&12th hostel. For an 18 year old the hostel rules are too damn strict to have a good social life. As vellore is a small town and chennai and banglore are not quite far, If you choose to live in the VIT hostel you can’t have much of a nice time during your bachelors. "
507,Vellore-Institute-of-Technology-Vellore,Does VIT have a good mess?,1,2,1/2,No,Followed,2020-07-15,https://www.quora.com/Does-VIT-have-a-good-mess,"The mess is not that great . Offers a variety of food but most of them taste the same. From my personal experience, I can tell that the Non-Veg mess (NON-VEG - DR1 - NON VEG (P-BLOCK)) was a good choice! The food was good. And usually, Sundays were kind of treat ! "
508,Vellore-Institute-of-Technology-Vellore,How many candidates have approximately registered for VITEEE-2020? Will there be less candidates due to the Covid-19 pandemic as compared to VITEE-2019?,2,1,2/1,No,Followed,2020-07-15,https://www.quora.com/How-many-candidates-have-approximately-registered-for-VITEEE-2020-Will-there-be-less-candidates-due-to-the-Covid-19-pandemic-as-compared-to-VITEE-2019,"There should be around 3 - 4 lakhs students. And I don't know any reason why there will be less candidates for it as no one have to give physical exam now. There should be more students. Around 13 lakh student give jee mains, most of the then will be applying to VITEEE too as now they don't have to give the exam for it. Pandemic doesn't have anything to do with it. "
509,Vellore-Institute-of-Technology-Vellore,"I have 3 choices for my career as an ECE student. Which should I choose, an M.Tech at BITS (I have to write an exam in August), a seat in VIT MTech VLSI, a TCS job, or 2LPA?",3,8,3/8,No,Followed,2020-07-15,https://www.quora.com/I-have-3-choices-for-my-career-as-an-ECE-student-Which-should-I-choose-an-M-Tech-at-BITS-I-have-to-write-an-exam-in-August-a-seat-in-VIT-MTech-VLSI-a-TCS-job-or-2LPA,"Take up the job at TCS. it is as good a stepping stone as any. There is no assurance of an M.Tech in BITS. You could also apply for an M.Tech in the IITs. It is easier than getting a seat in undergraduation. The important thing is to plan your career. If you are interested in management, you could do an MBA from top B-Schools. If you are interested in teaching or research, you can do your M.Tech and PhD from one of the IITs or any other good institution. If you are interested in a career in the engineering field, a post graduation in engineering will be helpful. You should seek a career in a fie Continue ReadingTake up the job at TCS. it is as good a stepping stone as any. There is no assurance of an M.Tech in BITS. You could also apply for an M.Tech in the IITs. It is easier than getting a seat in undergraduation. The important thing is to plan your career. If you are interested in management, you could do an MBA from top B-Schools. If you are interested in teaching or research, you can do your M.Tech and PhD from one of the IITs or any other good institution. If you are interested in a career in the engineering field, a post graduation in engineering will be helpful. You should seek a career in a field for which you have a passion and interest. This is more important than seeking a profession which is deemed to be financially rewarding. Finally, till you are able to secure admission for a post graduation course in an institution of your choice, please do continue with your job. Good luck 🍀 "
510,Vellore-Institute-of-Technology-Vellore,"I have 3 choices for my career as an ECE student. Which should I choose, an M.Tech at BITS (I have to write an exam in August), a seat in VIT MTech VLSI, a TCS job, or 2LPA?",3,8,3/8,No,Followed,2020-07-15,https://www.quora.com/I-have-3-choices-for-my-career-as-an-ECE-student-Which-should-I-choose-an-M-Tech-at-BITS-I-have-to-write-an-exam-in-August-a-seat-in-VIT-MTech-VLSI-a-TCS-job-or-2LPA,I am clear about the First part of the question. The last part is confusing me. Is TCS offering a job for an engineering graduate at 2 LPA? Are you sure? I always advise budding engineers from tier 2 colleges to do a master's from a tier 1 college. So obviously first choice should be to work hard and apply for BITS. why you haven't mentioned IIT/ NIT intrigues me. If you get a proper job in TCS ( not 2LPA CTC) Then that would be a second good option. Cheers! 
511,Vellore-Institute-of-Technology-Vellore,I got 85% in boards (PCM) and didn't appear for the January JEE Mains. Can I get admission in VIT 2020?,7,1,7/1,Yes,Followed,2020-07-17,https://www.quora.com/I-got-85-in-boards-PCM-and-didnt-appear-for-the-January-JEE-Mains-Can-I-get-admission-in-VIT-2020,"Of course, VIT’s application is still on, and it doesn't require you to give JEE mains or advanced for that matter of fact, it has its own VITEEE entrance, BUT BUT BUT.. due to COVID it is not conducting its VITEEE exam and will take in students based upon their BOARDS 2020 marks only for this year, I AM ONE OF THOSE WHO HAVE APPLIED! BEST OF LUCK!! "
512,Vellore-Institute-of-Technology-Vellore,Can I get mechanical engineering at VIT Vellore or VIT Chennai with 94% in class 12 boards (93% in PCM) and 60 percentile in the JEE Main?,1,5,1/5,No,Followed,2020-07-15,https://www.quora.com/Can-I-get-mechanical-engineering-at-VIT-Vellore-or-VIT-Chennai-with-94-in-class-12-boards-93-in-PCM-and-60-percentile-in-the-JEE-Main,There has been no official announcement from the university but as they had previously intimated about the admission on basis of boards and giving some weightage to jee main scores as well. There are chances of getting a Mechanical seat in VIT Chennai. But keep yourself updated with all the timely updates from the university. keep your spirits high and hope for the best. good luck!! 
513,Vellore-Institute-of-Technology-Vellore,Can I get mechanical engineering at VIT Vellore or VIT Chennai with 94% in class 12 boards (93% in PCM) and 60 percentile in the JEE Main?,1,5,1/5,No,Followed,2020-07-15,https://www.quora.com/Can-I-get-mechanical-engineering-at-VIT-Vellore-or-VIT-Chennai-with-94-in-class-12-boards-93-in-PCM-and-60-percentile-in-the-JEE-Main,"The admission will be on the basis of marks of boards and mains but the institute has not specified the weightage either of them will be contributing . I personally feel, you have a fair chance of grabbing a mechanical seat in either of the VIT. Hope for the best . Good luck. "
514,Vellore-Institute-of-Technology-Vellore,Will I get BTech CSE or IT in VIT Amravati in category or 2 if I scored 76% in 12th boards and VITEEE is also cancelled?,4,1,4/1,Yes,Followed,2020-07-16,https://www.quora.com/Will-I-get-BTech-CSE-or-IT-in-VIT-Amravati-in-category-or-2-if-I-scored-76-in-12th-boards-and-VITEEE-is-also-cancelled,"Thanks for A2A. It’s the first time, any college in India is doing this direct mode of admission and the primary reason is COVID-19. Dear Brothers and sisters we can’t say, as the cumulative grading and the rank formation by the Institute is not familiar to us. Please be patient and wait for rankings to come. It’s a hard year for all of us. Now, keeping patience would be the only key. Please keep patience and frequently check the website for updates. No seniors and counseling experts can answer such queries. Additionally, if any one cleared JEE Main with good percentile and have 85% and above marks in Board exams definitely higher preference will be given to such students and their rankings will be in Top 1000. This is just a close assumption, but however a good JEE marks will ensure better opportunities. Also, keep preparing for BITS Pilani, whose entrance is not cancelled yet. Always hunt for better opportunities. Don’t settle in VIT even if you are getting direct admissions. There are other premier colleges (mostly only BITS since IIIT Hyderabad already conducted their UGEE exams) which will provide you better opportunities and placements . Keep VIT as backup. ALL THE BEST!! Hope it helps! "
